Title,Classification,Company,Location,Posting,Salary,Description,Salary_Low,Salary_High,Unit,Currency
Growth Partner / Progress Advisor,(Penjualan),PT CERIA BELAJAR EDUKASI INDONESIA,Jakarta Utara,5 hari yang lalu,Rp 6.000.000 – Rp 8.000.000 per month,WonderMind is expanding our team and looking for an experienced Progress Advisor who is highly motivated and fits our culture.,6000000.0,8000000.0,month,IDR
Travel Consultant Balikpapan,(Hospitaliti & Pariwisata),PT. Dwidaya World Wide,Balikpapan,8 hari yang lalu,,"Melakukan seluruh proses penjualan product tour & travel, hotel, ticket pesawat, dokumen perjalanan ,akomodasi perjalanan.",,,,
Branch Manager (Development Program),(Penjualan),PT Wook Global Technology,Jakarta Utara,4 hari yang lalu,,Job Overview :We are looking for a results-driven Branch Manager to ensure that sales goals are met and office tasks are completed successfully in...,,,,
WAREHOUSE SUPERVISOR (SPV),"(Manufaktur, Transportasi & Logistik)",PT Yusen Logistics Puninar Indonesia,Bekasi,29 hari yang lalu,,"Job Description : Controlling and monitoring day to day operation (receiving, warehouse movement until delivery). Create, controlling and updating...",,,,
HVAC Sales/Application Engineer,(Penjualan),PT. Newark Engineering Indonesia,Jakarta Raya,6 hari yang lalu,Rp 8.000.000 – Rp 12.000.000 per month,.,8000000.0,12000000.0,month,IDR
Principal Gloria Bilingual School,(Pendidikan & Pelatihan),Yayasan Pendidikan Kristen Gloria Surabaya,Surabaya,11 hari yang lalu,,"Strong understanding of both international and national curricullum
Have a good managerial skills",,,,
Digital Performance Jr Specialist,(Pemasaran & Komunikasi),PT Bussan Auto Finance (BAF),Jakarta Selatan,22 hari yang lalu,,Digital Performance,,,,
Programmer CNC Milling,(Keterampilan & Jasa),PT Tri Sinar Purnama,Semarang Tengah,6 hari yang lalu,,Passionate CNC programmer needed to drive manufacturing excellence at leading industrial components firm.,,,,
Merchandiser (Mandarin Speaker),(Ritel & Produk Konsumen),PT MISSSHINE TRENDS INDONESIA,Jakarta Barat,13 hari yang lalu,Rp 9.500.000 – Rp 14.000.000 per month,We need a role of Coordinator with our fabric manufacture for quality control and procurement.,9500000.0,14000000.0,month,IDR
Life Planner/ Relationship Manager,(Perbankan & Layanan Finansial),AXA Mandiri Life Planner,Jakarta Raya,15 hari yang lalu,,"To achieve minimum performance standards in Activities (calls, appointments, meetings) To adopt and use the appropriate sales portals and tools to...",,,,
Senior Secretary President Director,(Administrasi & Dukungan Perkantoran),,Jakarta Raya,7 hari yang lalu,,One of the largest coal mining companies in Indonesia,,,,
Project Sales Manager,(Penjualan),,Jakarta Barat,7 hari yang lalu,,-,,,,
Marketing,(Pemasaran & Komunikasi),PT Bali Artha Seduh,Jakarta Utara,10 hari yang lalu,Rp 6.000.000 – Rp 8.500.000 per month,"Grow your marketing career in a dynamic, supportive environment. Competitive salary and benefits offered.",6000000.0,8500000.0,month,IDR
Training Facilitator,(Sumber Daya Manusia & Perekrutan),PT. OCS Global Services (OCS Indonesia),Jakarta Raya,13 hari yang lalu,,Exciting job with great scope for growth and fast paced working environment,,,,
Staff Operational,(Administrasi & Dukungan Perkantoran),,Denpasar,21 hari yang lalu,,Correspondence with local partner and local supplier Brief the assigned guide and driver before the tour started  Handle operation hotline and...,,,,
Software Account Manager (Paques),(Penjualan),PT. Lintas Teknologi Indonesia,Jakarta Selatan,12 hari yang lalu,,"At Paques, we build careers with purpose. You’ll have the oppt to work on meaningful projectsand  make a real impact to business",,,,
Sales and Client Relations,(Penjualan),PT I Like Gym Indonesia,Jakarta Raya,20 hari yang lalu,Rp 6.000.000 – Rp 8.000.000 per month,"""Exciting sales role with growth opportunities. Join us now!""",6000000.0,8000000.0,month,IDR
Sales Heavy Equipment / Truck,(Penjualan),PT SINOPACIFIC PERALATAN INDONUSA,Jakarta Utara,5 hari yang lalu,,"Sales and marketing of heavy equipment, including excavators, loaders, dozers, graders, and vibros, with a focus on the mining sector.",,,,
IT Staff,(Teknologi Informasi & Komunikasi),PT. OSA Industries Indonesia,Jakarta Raya,4 hari yang lalu,Rp 8.000.000 – Rp 10.000.000 per month,IT Staff;S1 in Information Technology/Computer Science > 3 years experiences;min 25yo;Jakarta,8000000.0,10000000.0,month,IDR
T&T Consultant - AMS - SAP OpenText - ID,(Teknologi Informasi & Komunikasi),Deloitte Consulting SEA,Jakarta Raya,16 hari yang lalu,,SAP OpenText,,,,
Customer Experience - Japanese Speaker,(Call Center & Layanan Konsumen),PT Mitracomm Ekasarana,Jakarta Pusat,12 hari yang lalu,Rp 5.700.000 – Rp 6.500.000 per month,"Record Client requests and complaints, followed with optimal solutions in Japanese and English.",5700000.0,6500000.0,month,IDR
"Mandarin Speaker (GA, Finance, Purchasing, HR, Admin)",(Administrasi & Dukungan Perkantoran),PT. BTR INDONESIA,Kendal,4 hari yang lalu,Rp 10.000.000 – Rp 14.000.000 per month,"There are some mandarin speaker positions that we currently open: GA staff, Finance Staff, HR Staff, and Administration Staff",10000000.0,14000000.0,month,IDR
Operations Manager - Bunaken,(Hospitaliti & Pariwisata),PT. Bobobox Mitra Indonesia,Manado,18 hari yang lalu,,"Leads strategy execution, guest experience, and ops excellence through data, people leadership, and continuous improvement.",,,,
Human Resource Business Partner,(Sumber Daya Manusia & Perekrutan),Cushman & Wakefield,Jakarta Raya,19 hari yang lalu,,"Drive engagement, change management, and performance by partnering with teams to enhance culture, resolve issues, and improve employee experience.",,,,
Marketing Officer (Jabodetabek),(Perbankan & Layanan Finansial),PT Dipo Star Finance,Jakarta Raya,5 hari yang lalu,Rp 5.500.000 – Rp 7.000.000 per month,Acquire new customer and maintain good relationship with customer,5500000.0,7000000.0,month,IDR
Account Manager (IT Solutions),(Teknologi Informasi & Komunikasi),PT IT Group Indonesia,Jakarta Selatan,18 hari yang lalu,Rp 7.500.000 – Rp 8.500.000 per month,Seeking new logo for IT Solution (Software) Products,7500000.0,8500000.0,month,IDR
Operations Manager - Bunaken,(Hospitaliti & Pariwisata),PT. Bobobox Mitra Indonesia,Manado,29 hari yang lalu,,"Leads strategy execution, guest experience, and ops excellence through data, people leadership, and continuous improvement.",,,,
Human Capital Associate,(Sumber Daya Manusia & Perekrutan),,Tangerang,12 hari yang lalu,Rp 6.000.000 – Rp 8.000.000 per month,"The Human Capital Associate is expected to ensure that HR practices are standardized, compliant, and aligned with the company's culture of excellence.",6000000.0,8000000.0,month,IDR
HVAC Electric Supervisor,(Teknik),PT Marcopolo Shipyard,Batam Kota,25 hari yang lalu,,"Lead the HVAC electrical team at a leading shipyard. Excellent benefits and career growth opportunities in Batam, Indonesia.",,,,
Sales Associate - Special Region of Yogyakarta & Central Java,(Penjualan),PT. Bobobox Mitra Indonesia,Jawa Tengah,25 hari yang lalu,,"As a Sales Associate Rooms & Events in Bobobox, you'll be responsible for scouting potential customers to stay in Bobopods & Bobocabin.",,,,
Finance & Accounting Senior Officer,(Akuntansi),PT Bizlink Technology Indonesia,Batam Kota,8 hari yang lalu,,"Handle full-set accounting, tax compliance, supplier payments, audit support, budget prep, and SAP AP/AR processes with accuracy and timeliness.",,,,
Collection Specilalist,(Call Center & Layanan Konsumen),Horizon Construction Development,Jakarta Utara,27 hari yang lalu,,Monitoring/billing/withdrawing units for overdue customer contracts.,,,,
Senior Videographer (Singapore),"(Periklanan, Seni & Media)",Boom Digital Media,Jakarta Raya,5 hari yang lalu,"$5,000 – $7,500 per month (SGD)",This job will be based in Singapore. The work pass is subject to approval by the Singapore government. An eligibility test will need to be conducted.,5000.0,7500.0,month,USD
Sr. Executive Stakeholder Relationship,(Pemasaran & Komunikasi),,Jakarta Utara,28 hari yang lalu,,"The role managing stakeholder relationships, handle for public and media relation, coordinating corporate communication activities.",,,,
Procurement Staff,"(Manufaktur, Transportasi & Logistik)",PT I Like Gym Indonesia,Jakarta Barat,19 hari yang lalu,Rp 6.000.000 – Rp 7.000.000 per month,Job Summary:The Procurement Staff is responsible for ensuring that the company’s purchasing and procurement needs are met efficiently and...,6000000.0,7000000.0,month,IDR
Travel Consultant Palangkaraya,(Hospitaliti & Pariwisata),PT. Dwidaya World Wide,Palangkaraya,10 hari yang lalu,,"Melakukan seluruh proses penjualan product tour & travel, hotel, ticket pesawat, dokumen perjalanan, akomodasi perjalanan.",,,,
Sales Consultant Logistics (Balikpapan),(Ritel & Produk Konsumen),PT Serasi Autoraya (Member of Astra),Balikpapan,12 hari yang lalu,,Job Descriptions : Coordinate the sales offer process to prospective customers Coordinate in negotiating with customers Prospecting potential...,,,,
T&T Senior Consultant - SAP Basis/ PIPO/Integration Suite - ID,(Teknologi Informasi & Komunikasi),Deloitte Consulting SEA,Jakarta Raya,21 hari yang lalu,,SAP Basis - BTP/CPI,,,,
Account Manager / Sales/ Marketing,(Penjualan),PT VICTORY NETWORK INDONESIA,Jakarta Barat,22 hari yang lalu,,"⦁	To obtain prospect customer from leads to deal.
⦁	Develop new account to achieve target.
⦁	Client visit,presentation, creating quotation/proposal.",,,,
Sales Manager (Construction Rep. Office),(Penjualan),Fuji Recruitment (PT. Fuji Bijak Prestasi),Jakarta Selatan,21 hari yang lalu,Rp 10.000.000 – Rp 12.000.000 per month,Performed as a Sales and Business Development for construction equipment.,10000000.0,12000000.0,month,IDR
Customer Service (Mandarin Speaker),(Call Center & Layanan Konsumen),Teleperformance,Bali,15 hari yang lalu,,Are you passionate about solving the customer's problem? are you speaking mandarin? join us!,,,,
Customer Service (German Speaker),(Call Center & Layanan Konsumen),Teleperformance,Bali,15 hari yang lalu,,Are you passionate about solving customer's problem and able to speak German?,,,,
Accounting and Tax Staff,(Akuntansi),PT. Kimeko Jasa Handal,Jakarta Pusat,5 hari yang lalu,,"Handling monthly report, compliance, bookkeeping, and other taxation.",,,,
"Assistant Manager, Warehouse & Logistics (Tobacco - Malang Placement)","(Manufaktur, Transportasi & Logistik)",YSQ International Pte Ltd,Malang,7 hari yang lalu,,"Maintaining inventory accuracy, space utilization, inbound & outbound deliveries, supporting warehouse & logistics continuous improvement.",,,,
Warehouse Coordinator (Mandarin Speakers),(Konstruksi),PT. XCMG GROUP INDONESIA - 徐工印尼公司,Jakarta Raya,26 hari yang lalu,Rp 6.000.000 – Rp 9.000.000 per month,"Warehousing, Supervise and Mandarin Speakers",6000000.0,9000000.0,month,IDR
Customer Service - Mandarin Speaker,(Call Center & Layanan Konsumen),Teleperformance,Bali,29 hari yang lalu,,Are you passionate with customer handling via call or email? Come and Join us!,,,,
Product Manager (Medical Health Company),(Pemasaran & Komunikasi),PT Cordlife Persada,Jakarta Pusat,27 hari yang lalu,,Responsibilities: Manage and develop full spectrum of existing and future products Champion the brand communication to all related stakeholders...,,,,
Technical Sales Representative,(Penjualan),PT. Braime Components Indonesia,Tangerang,18 hari yang lalu,Rp 25.000.000 – Rp 30.000.000 per month,"This role is perfect for a professional with mechatronics/mechanical/electrical engineer, who would like to be part of an established industry leader.",25000000.0,30000000.0,month,IDR
Backend Developer,(Teknologi Informasi & Komunikasi),PT Intersolusi Teknologi Asia,Bandung,4 hari yang lalu,"Rp 5,000,000 – Rp 7,500,000 per month","We’re seeking a skilled Backend Developer to build and maintain APIs, databases, and server-side logic for high-performance applications.",5000000.0,7500000.0,month,IDR
Sales Tire,(Ritel & Produk Konsumen),PT SINOPACIFIC PERALATAN INDONUSA,Jakarta Raya,25 hari yang lalu,,"Promote and market high-quality tire products to consumers in the mining, plantation, transportation, and logistics industries.",,,,
Customer Service - Korean Speaker,(Call Center & Layanan Konsumen),Teleperformance,Bali,29 hari yang lalu,,Are you passionate in customer handling? Come and Join Us!,,,,
Retail Sales Associates,(Ritel & Produk Konsumen),PT Dufrindo Internasional,Bali,27 hari yang lalu,Rp 4.000.000 – Rp 6.000.000 per month,primarily handles customer transactions and provides excellent customer service at the point of sale. This involves operating cash registers,4000000.0,6000000.0,month,IDR
Head of Early Years,(Pendidikan & Pelatihan),Yayasan Rinjani Indah (Mandalika Intercultural School),Lombok,26 hari yang lalu,,"Lead and inspire the Early Years team in a child-centered, international school setting in beautiful Lombok.",,,,
Research & Development Manager,(Pendidikan & Pelatihan),PT. EAST INDO FAIR TRADING (YAVA),Karangasem,20 hari yang lalu,,"Specializing in the New Product Category, He/she will be responsible for leading the development and enhancing existing.",,,,
Funding Executive (Withdrawal),(Perbankan & Layanan Finansial),Doo Group,Jakarta Selatan,25 hari yang lalu,,-,,,,
FINANCE ACCOUNTING & TAX SENIOR STAFF,(Akuntansi),,Jakarta Pusat,11 hari yang lalu,Rp 7.000.000 – Rp 8.500.000 per month,We will hire a person who has great dedication and capability in the field to become a future leader who grows up together with the company.,7000000.0,8500000.0,month,IDR
T&T Senior Consultant - SAP Data Intelligence Cloud - ID,(Teknologi Informasi & Komunikasi),Deloitte Consulting SEA,Jakarta Raya,21 hari yang lalu,,SAP Data Intelligence Cloud,,,,
KOL & Affiliate Specialist,(Pemasaran & Komunikasi),Learning Time Limited,Jakarta Selatan,20 hari yang lalu,"Rp 5,500,000 – Rp 7,500,000 per month",Our Learning Time family is looking for an organised and ambitious candidate to join our growing team!,5500000.0,7500000.0,month,IDR
Javascript Developer,(Teknologi Informasi & Komunikasi),PT Intersolusi Teknologi Asia,Bandung,5 hari yang lalu,"Rp 5,000,000 – Rp 7,500,000 per month","Responsibilities:Your duties will include (but will not be limited to): Performing or directing website updates. Developing, maintaining and...",5000000.0,7500000.0,month,IDR
Retail Sales Associates Staff,(Ritel & Produk Konsumen),PT Dufrindo Internasional,Bali,28 hari yang lalu,Rp 4.000.000 – Rp 6.000.000 per month,primarily handles customer transactions and provides excellent customer service at the point of sale. This involves operating cash registers,4000000.0,6000000.0,month,IDR
Heavy Machinery Mechanic And Technician,(Teknik),Jonize Construction Unipessoal Lda,Jakarta Raya,21 hari yang lalu,,Grow your mechanical career with a leading construction company.,,,,
Purchasing/Export Import/Logistic (Mandarin Speaker),"(Manufaktur, Transportasi & Logistik)",PT Obsidian Stainless Steel,Jakarta Selatan,21 hari yang lalu,,Learning by doing regarding Purchasing/Export Import/Logistic,,,,
